,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
1352557,nm1046521,Lars Ranthe,1969,\N,"actor,stunts,archive_footage","tt10288566,tt0418455,tt1706596,tt2106476"
1352998,nm10465666,Jerry Bray,\N,\N,"cinematographer,camera_department","tt8760684,tt27846155"
1352999,nm10465667,Bob Bird,\N,\N,"cinematographer,camera_department","tt8760684,tt27846155"
1358960,nm1047193,Won Bin,1977,\N,actor,"tt1527788,tt0386064,tt1216496,tt0295368"
1359499,nm1047252,Marko Zaror,1978,\N,"actor,producer,assistant_director","tt10366206,tt2002718,tt13354802,tt1156466"
1368248,nm1048199,Kim Jee-young,1938,2017,actress,"tt2557406,tt21308998,tt5321144,tt6508608"
1370556,nm1048445,Mark Mullen,\N,\N,"casting_department,casting_director,producer","tt8652728,tt5649144,tt0368008,tt0430357"
1370871,nm1048480,Tae-won Kim,\N,\N,composer,"tt0428870,tt0294638"
1373288,nm10487354,Amit R Kumar,\N,\N,"casting_director,casting_department","tt4430212,tt4387040,tt4169250,tt3595298"
1376087,nm10490358,Kaam Bhaari,\N,\N,"music_department,actor,composer","tt2395469,tt11651796,tt13282662,tt29613587"
1377472,nm10491850,Dierdre Wolownick,\N,\N,actress,tt7775622
1379722,nm1049433,Lenny Abrahamson,1966,\N,"director,producer,writer","tt3170832,tt1605717,tt9059760,tt0419420"
1394540,nm10510400,Dharani Gangeputhra,\N,\N,"art_director,production_designer","tt15327088,tt7466810,tt9430780,tt15333630"
1395989,nm10511902,Amaan Iqbal,\N,\N,"casting_department,actor,director","tt10811166,tt27744786,tt15315164,tt7255568"
1398339,nm10514458,Spike Fearn,\N,\N,actor,"tt1877830,tt19770238,tt20196132,tt18412256"
1403645,nm10520267,Neda Margrethe Labba,\N,\N,actress,"tt4729430,tt9875862"
1407600,nm10524619,Eva Whittaker,\N,\N,actress,"tt5198068,tt13622982,tt26700853,tt20978970"
1413985,nm1053148,Mark Ronson,1975,\N,"music_artist,composer,actor","tt1517268,tt1517451,tt5814534,tt1386697"
1414968,nm10532574,Clifford E. Charlesworth,\N,\N,archive_footage,\N
1414974,nm1053258,Lars Skree,1969,\N,"cinematographer,camera_department","tt8923510,tt7689912,tt3521134,tt26542635"
1417340,nm1053530,Tom Ford,1961,\N,"director,actor,costume_designer","tt1315981,tt4550098,tt0830515,tt0196229"
1417395,nm1053536,Stephen Hunter,\N,\N,"actor,director,soundtrack","tt0903624,tt1170358,tt2310332,tt10648342"
1430837,nm1054979,Frank G. DeMarco,\N,\N,"cinematographer,camera_department,writer","tt2017038,tt0248845,tt0935075,tt1385826"
1432941,nm1055192,Randall Carlton,1969,\N,actor,"tt0253556,tt0298845,tt0339743,tt0381565"
1433994,nm1055302,Rhys Darby,1974,\N,"actor,writer,director","tt1068680,tt0863046,tt1131729,tt6902676"
1435094,nm1055413,Michael Fassbender,1977,\N,"actor,producer,executive","tt1723811,tt1446714,tt1270798,tt2080374"
1436582,nm1055564,Grégoire Hetzel,\N,\N,"composer,music_department,soundtrack","tt1255953,tt4080768,tt5687040,tt4048050"
1438625,nm10557796,Sneha Babu,1997,\N,actress,"tt7268738,tt23727900,tt27411215,tt12953548"
1439285,nm1055848,Drew McWeeny,\N,\N,"writer,actor,soundtrack","tt15677070,tt0448190,tt1112285,tt7017872"
1441114,nm1056059,Rajeev Ravi,1973,\N,"cinematographer,director,writer","tt1327035,tt1954470,tt5458088,tt8108198"
1444669,nm10564417,Rajesh Abhay,\N,\N,actor,"tt1620933,tt0907674"
1447306,nm1056741,Suzanne Collins,1962,\N,"writer,miscellaneous,producer","tt1392170,tt1951265,tt1951266,tt10545296"
1447780,nm1056790,Nicholas Aaron,\N,\N,"actor,writer,producer","tt0185906,tt3006802,tt0379557,tt11771270"
1448608,nm10568843,Ashwanth Ashokkumar,2011,\N,actor,"tt7019942,tt10661848,tt20916800,tt10955578"
1458469,nm1057928,Zoë Bell,1978,\N,"stunts,actress,assistant_director","tt3460252,tt0462322,tt1028528,tt7131622"
1461005,nm1058208,Dan Dhanoa,1959,\N,actor,"tt10189514,tt0382604,tt0091328,tt0236978"
1461657,nm1058273,Priscilla Elliott,\N,\N,"art_director,art_department,production_designer","tt1517260,tt1951266,tt1637688,tt0790736"
1463586,nm10584760,Mirnalini Ravi,1995,\N,actress,"tt9670480,tt7019942,tt13131186,tt13648286"
1467880,nm1058940,Scoot McNairy,1977,\N,"actor,producer,soundtrack","tt1024648,tt1470827,tt2024544,tt1764234"
1469448,nm1059103,Vivek Oberoi,1976,\N,"actor,writer,producer","tt0296574,tt1029231,tt0811066,tt0330843"
1469939,nm1059154,Park Won-sang,1970,\N,actor,"tt5797194,tt11534210,tt14482296,tt4284216"
1477105,nm1059922,Paul Watson,1950,\N,"actor,producer,miscellaneous","tt9645576,tt27122245,tt1830585,tt1286499"
1481686,nm1060389,Des Hamilton,1965,\N,"casting_director,casting_department,actor","tt13649314,tt7984766,tt4827558,tt4758646"
